Série,Tome,Titre,Sous-titre,Auteurs,Editeurs
Lanfeust des étoiles,3,Les soleils d'Abraxar,,"Arleston, Tarquin",Soleil
Lanfeust des étoiles,4,Les buveurs de mondes,,"Arleston, Tarquin",Soleil
Lanfeust des étoiles,5,La chevauchée des bacteries,,"Arleston, Tarquin",Soleil
Lanfeust des étoiles,6,Le râle du flibustier,,"Arleston, Tarquin",Soleil
Lanfeust des étoiles,7,Le secret des Dolphantes,,"Arleston, Tarquin",Soleil
Lanfeust des étoiles,8,Le sang des comètes,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,1,L'ivoire du Magohamoth,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,2,Thanos l'incongru,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,3,Castel Or-Azur,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,4,Le paladin d'Eckmül,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,5,Le frisson de l'haruspice,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,6,Cixi impératrice,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,7,Les pétaures se cachent pour mourir,,"Arleston, Tarquin",Soleil
Lanfeust de Troy,8,La bête fabuleuse,,"Arleston, Tarquin",Soleil
Le Grand Mort,1,Larmes d'abeille,,"Loisel, JB Dijan, Mallié, Lapierre",Vents d'Ouest
Le Grand Mort,2,Pauline...,,"Loisel, JB Dijan, Mallié, Lapierre",Vents d'Ouest
Le Grand Mort,3,Blanche,,"Loisel, JB Dijan, Mallié, Lapierre",Vents d'Ouest
Le Grand Mort,4,Sombre,,"Loisel, JB Dijan, Mallié, Lapierre",Vents d'Ouest
Le fléau des Dieux,1,Morituri te salutant,,"Mangin, Gajic",Soleil
Le fléau des Dieux,2,Dies irae,,"Mangin, Gajic",Soleil
Le fléau des Dieux,3,Urbi et orbi,,"Mangin, Gajic",Soleil
Le fléau des Dieux,4,Vae victis,,"Mangin, Gajic",Soleil
Le fléau des Dieux,5,Dei ex machina,,"Mangin, Gajic",Soleil
Le fléau des Dieux,6,Exit,,"Mangin, Gajic",Quadrant solaire
Lans Sirling,1,Traks,,"Gaudin, Picaud",Soleil
Lans Sirling,2,Sur les rives du nako,,"Gaudin, Picaud",Soleil
Lans Sirling,3,Rosyalle,,"Gaudin, Picaud",Soleil
Yiu - Premières missions,1,L'armée des néo-déchets,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu - Premières missions,2,Les résurrections de l'impure,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu - Premières missions,3,L'impératrice des larmes,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu - Premières missions,4,Et le serment des fils,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu - Premières missions,5,Exfiltration geisha,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu - Premières missions,6,L'inquisiteur et la proie,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu - Premières missions,7,Les forges d'égothik,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,1,Aux enfers,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,2,La promesse que je te fais,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,3,Assassaints,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,4,Prie pour qu'elle meure,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,5,La chute de l'empire évangéliste,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,6,L'apocalypse ou le livre des splendeurs,,"Téhy, Guenet, J.M. Vee",Soleil
Yiu,7,Dernier testament,,"Téhy, Guenet, J.M. Vee",Soleil
Toran,1,Laona,,"Plongeon, Peynet",Soleil
Toran,2,Les sirènes,,"Plongeon, Peynet",Soleil
Toran,3,Mora,,"Plongeon, Peynet",Soleil
Ravermoon,1,La promesse des flammes,,"Cordurié, Pilipovic, Jacquemoire",Soleil
Ravermoon,2,Les germes du mal,,"Cordurié, Pilipovic, Jacquemoire",Soleil
Magika,1,Rêves de sang,,"Tacito, Angleraud, Geunet",Zenda
Magika,2,Big Bang Babylone,,"Tacito, Angleraud, Geunet",Zenda
Magika,3,Les versets de feu,,"Tacito, Angleraud, Geunet",Zenda
Magika,4,Paladin Inc.,,"Tacito, Angleraud, Geunet",Zenda
La cicatrice du souvenir,1,Les évadés de Kanash,,"Ange, Paty",Soleil
La cicatrice du souvenir,2,Le Crystal de Baïn,,"Ange, Paty",Soleil
La cicatrice du souvenir,3,Le livre d'Erkor,,"Ange, Paty",Soleil
Les princes d'Arklan,1,Lekard,,"Gaudin, Sieurac",Soleil
Les princes d'Arklan,2,Sylène,,"Gaudin, Sieurac",Soleil
Les princes d'Arklan,3,Olgo,,"Gaudin, Sieurac",Soleil
Les princes d'Arklan,4,Le sans-nom,,"Gaudin, Sieurac",Soleil
Berceuse assasine,1,Un,,"Tome, Ralph",Dargaud
Berceuse assasine,2,Deux,,"Tome, Ralph",Dargaud
Berceuse assasine,3,Trois,,"Tome, Ralph",Dargaud
Règlement de Contes,1,Règne animal,,"Marie, Vanderstraeten",Soleil
Règlement de Contes,2,Le coeur de la forêt,,"Marie, Vanderstraeten",Soleil
Règlement de Contes,3,Trois cochons,,"Marie, Vanderstraeten",Soleil
Règlement de Contes,4,La mémoire dans la boue,,"Marie, Vanderstraeten",Soleil
Damoclès,1,Protection rapprochée,,"Henriet, Callède",Dupuis
Damoclès,2,La rançon impossible,,"Henriet, Callède",Dupuis
Damoclès,3,Perfect child,,"Henriet, Callède",Dupuis
Damoclès,4,Eros et Thanatos,,"Henriet, Callède",Dupuis
Encyclomerveille d'un tueur,1,L'orphelin de Cocoyer grand-bois,,"Chamoiseau, Ségur",Delcourt
Tracker,1,Rouge casino,,"Tackian, Valton, Pinchon",Soleil
Les larmes d'Ostasis,1,Le phare d'alvéona,,Ouali,Soleil
Les larmes d'Ostasis,2,Eaux troubles,,Ouali,Soleil
Garous,1,La caste des ténèbres,,"Gaudin, D'Fali",Soleil
Garous,2,Alissia,,"Gaudin, D'Fali, Chagnaud",Soleil
Garous,3,Le cloître des damnés,,"Gaudin, D'Fali, Chagnaud",Soleil
Garous,4,Altis,,"Gaudin, D'Fali, Chagnaud",Soleil
Garous,5,Les Holtons,,"Gaudin, D'Fali, Nino",Soleil
Garous,6,Sandra Morgan,,"Gaudin, D'Fali, Mutti",Soleil
Le lama blanc,1,Le lama blanc,,"Bess, Jodorowsky",Les humanoïdes associés
Le lama blanc,2,La seconde vue,,"Bess, Jodorowsky",Les humanoïdes associés
Le lama blanc,3,Les trois oreilles,,"Bess, Jodorowsky",Les humanoïdes associés
Le lama blanc,4,La quatrième voie,,"Bess, Jodorowsky",Les humanoïdes associés
Le lama blanc,5,"Main fermée, main ouverte",,"Bess, Jodorowsky",Les humanoïdes associés
Le lama blanc,6,"Triangle d'eau, triangle de feu",,"Bess, Jodorowsky",Les humanoïdes associés
L'expert,1,Le triomphe de Saint Waldemar,,"Giroud, Brada",Glénat
L'expert,2,L'étole du Chaman,,"Giroud, Brada",Glénat
L'expert,3,L'Ombre du connétable,,"Giroud, Brada",Glénat
L'expert,4,Justice !,,"Giroud, Brada",Glénat
Quintett,1,Histoire de Dora Mars,Premier mouvement,"Giroud, Bonin",Dupuis
Quintett,2,Histoire d'Alban Méric,Deuxième mouvement,"Giroud, Gillon",Dupuis
Quintett,3,Histoire d'Elias Cohen,Troisième mouvement,"Giroud, Cuzor",Dupuis
Quintett,4,Histoire de Nafsika Vasli,Quatrième mouvement,"Giroud, Kraehn",Dupuis
Quintett,5,La chute,Dernier mouvement,"Giroud, Alessandrini",Dupuis
Gabrielle,0,Gabrielle,,Kara,Pointe noire
Le miroir des alices,1,L'ennemie qui est en moi,,Kara,Soleil
Le miroir des alices,2,Jusqu'au bout de mon rêve...,,Kara,Soleil
